,Code,Description
9692,V95.9,Μη καθορισμένο αεροπορικό ατύχημα με τραυματισμό επιβάτη
9693,V96,Ατύχημα σε μη μηχανοκίνητο αεροσκάφος που προκαλεί τραυματισμό επιβάτη
9694,V96.0,Ατύχημα αερόστατου με τραυματισμό επιβάτη
9695,V96.1,Ατύχημα αερόστατου με τραυματισμό επιβάτη
9696,V96.2,Ατύχημα μη μηχανοκίνητου ανεμόπτερου με τραυματισμό επιβάτη
9697,V96.8,Άλλα ατυχήματα μη μηχανοκίνητων αεροσκαφών με τραυματισμό επιβάτη
9698,V96.9,Μη καθορισμένο ατύχημα μη μηχανοκίνητου αεροσκάφους με τραυματισμό επιβάτη
9699,V97,Άλλα καθορισμένα αεροπορικά ατυχήματα
9700,V97.0,Επιβάτης αεροσκάφους που τραυματίζεται σε άλλα καθορισμένα ατυχήματα αερομεταφοράς
9701,V97.1,Άτομο που τραυματίζεται κατά την επιβίβαση ή αποβίβαση από το αεροσκάφος
9702,V97.2,Αλεξιπτωτιστής που τραυματίζεται σε αεροπορικό ατύχημα
9703,V97.3,Άτομο στο έδαφος που τραυματίζεται από αεροπορικό ατύχημα
9704,V97.8,"Άλλα αεροπορικά ατυχήματα, που δεν ταξινομούνται αλλού"
9705,V98,Άλλα καθορισμένα ατυχήματα μεταφοράς
9706,V99, Μη καθορισμένα ατυχήματα μεταφοράς
9707,W00,Πτώση στο ίδιο επίπεδο συσχετιζόμενη με πάγο και χιόνι
9708,W01,"Πτώση στο ίδιο επίπεδο από ολίσθηση, σκόνταμμα ή παραπάτημα"
9709,W02,"Πτώση με παγοπέδιλα, σκι, πατίνια ή σκέϊτμπορντ [skateboard]"
9710,W03,Άλλη πτώση στο ίδιο επίπεδο που οφείλεται σε σύγκρουση με ή ώθηση από άλλο άτομο
9711,W04,Πτώση κατά τη διάρκεια μεταφοράς ή στήριξης από άλλα άτομα
9712,W05,Πτώση συσχετιζόμενη με αναπηρική καρέκλα
9713,W06,Πτώση συσχετιζόμενη με κρεβάτι
9714,W07,Πτώση συσχετιζόμενη με καρέκλα
9715,W08,Πτώση συσχετιζόμενη με άλλα έπιπλα
9716,W09,Πτώση συσχετιζόμενη με εξοπλισμό παιδικής χαράς
9717,W10,Πτώση επάνω σε ή από σκάλες κλίμακες και σκαλοπάτια
9718,W11,"Πτώση επάνω σε ή από σκάλα πτυσσόμενη, εργασίας"
9719,W12,Πτώση επάνω σε ή από σκαλωσιά
9720,W13,"Πτώση από, έξω από ή μέσα από κτίριο ή οικοδόμημα"
9721,W14, Πτώση από δέντρο
9722,W15, Πτώση από βράχο γκρεμό
9723,W16,Βουτιά ή άλμα σε νερό που προκαλεί άλλον τραυματισμό εκτός από πνιγμό ή εμβύθιση
9724,W17, Άλλη πτώση από το ένα επίπεδο σε άλλο
9725,W18, Άλλη πτώση στο ίδιο επίπεδο
9726,W19,Μη καθορισμένη πτώση 
9727,W20,"Χτύπημα από αντικείμενο που ρίχνεται, εκτοξεύεται ή πέφτει"
9728,W21,Χτύπημα επάνω σε ή από αθλητικό εξοπλισμό
9729,W22,Χτύπημα επάνω σε ή από άλλα αντικείμενα
9730,W23,"Παγίδευση, σύνθλιψη, ενσφήνωση ή σφίξιμο μέσα ή ανάμεσα σε αντικείμενα"
9731,W24,"Επαφή με ανυψωτικές συσκευές και συσκευές μετάδοσης της κίνησης, που δεν ταξινομούνται αλλού"
9732,W25,Επαφή με αιχμηρό γυαλί
9733,W26,"Επαφή με μαχαίρι, ξίφος ή εγχειρίδιο"
9734,W27,Επαφή με χειροκίνητα εργαλεία
9735,W28,Επαφή με μηχανοκίνητο χλοοκοπτικό μηχάνημα
9736,W29, Επαφή με άλλα ηλεκτρικά εργαλεία χειρός και οικιακές συσκευές
9737,W30,Επαφή με γεωργικά [αγροτικά] μηχανήματα
9738,W31,Επαφή με άλλα και μη καθορισμένα μηχανήματα
9739,W32,Πυροβολισμός περιστρόφου
9740,W33,"Πυροβολισμός από καραμπίνα, κυνηγετικό όπλο και άλλα μεγαλύτερα πυροβόλα όπλα"
9741,W34,Πυροβολισμός από άλλα και μη καθορισμένα πυροβόλα όπλα
9742,W35,Έκρηξη και ρήξη λέβητα 
9743,W36,Έκρηξη και ρήξη κυλίνδρου αερίων
9744,W37,"Έκρηξη και ρήξη πεπιεσμένου ελαστικού αυτοκινήτου, αγωγού και σωλήνα"
9745,W38,Έκρηξη και ρήξη άλλων καθορισμένων πεπιεσμένων συσκευών
9746,W39,Έκρηξη πυροτεχνήματος
9747,W40,Έκρηξη άλλων υλικών
9748,W41,Έκθεση σε πίδακα από ακροφύσιο υψηλής πίεσης [jet]
9749,W42,Έκθεση σε θόρυβο
9750,W43, Έκθεση σε δονήσεις
9751,W44,Είσοδος ξένου σώματος εντός ή μέσω του οφθαλμού ή φυσικού στομίου
9752,W45,Είσοδος ξένου σώματος ή αντικειμένου δια μέσου του δέρματος
9753,W46,Επαφή με υποδερμική βελόνα
9754,W49,Έκθεση σε άλλες και μη καθορισμένες άψυχες μηχανικές δυνάμεις
9755,W50,"Χτύπημα, λάκτισμα, συστροφή, δήγμα ή εκδορά από άλλο άτομο"
9756,W51,Πλήγμα ή πρόσκρουση από άλλο άτομο  
9757,W52,"Σύνθλιψη, βίαιη ώθηση και ποδοπάτηση από πλήθος ή άτομα που τρέπονται σε άτακτη φυγή"
9758,W53, Δήγμα αρουραίου
9759,W54,Δήγμα ή κτύπημα από σκύλο
9760,W55,Δήγμα ή χτύπημα από άλλα θηλαστικά
9761,W56,Επαφή με θαλάσσια ζώα
9762,W57,Δήγμα ή νυγμός από μη δηλητηριώδες έντομο και άλλα μη δηλητηριώδη αρθρόποδα
9763,W58,Δήγμα ή χτύπημα από κροκόδειλο ή αλιγάτορα
9764,W59,Δήγμα ή σύνθλιψη από άλλα ερπετά
9765,W60,Επαφή με αγκάθια και κοφτερά φύλλα φυτών
9766,W64,Έκθεση σε άλλες και μη καθορισμένες έμψυχες μηχανικές δυνάμεις
9767,W65,Πνιγμός και εμβύθιση ενώ βρίσκεται το άτομο μέσα στο λουτήρα μπανιέρα
9768,W66,Πνιγμός και εμβύθιση μετά από πτώση προς το λουτήρα μπανιέρα
9769,W67,Πνιγμός και εμβύθιση ενώ βρίσκεται το άτομο μέσα σε κολυμβητική δεξαμενή πισίνα
9770,W68,Πνιγμός και εμβύθιση μετά από πτώση προς τη κολυμβητική δεξαμενή πισίνα
9771,W69,Πνιγμός και εμβύθιση ενώ βρίσκεται το άτομο μέσα σε φυσικά ύδατα
9772,W70,Πνιγμός και εμβύθιση μετά από πτώση προς φυσικά ύδατα
9773,W73,Άλλος καθορισμένος πνιγμός και εμβύθιση
9774,W74,Μη καθορισμένος πνιγμός και εμβύθιση
9775,W75,Τυχαία ασφυξία και στραγγαλισμός στο κρεβάτι
9776,W76,Άλλος τυχαίος απαγχονισμός και στραγγαλισμός
9777,W77,"Απειλές για την αναπνοή που οφείλονται σε κατάρρευση, κατολίσθηση εδάφους και άλλες ουσίες "
9778,W78,Εισρόφηση γαστρικού περιεχομένου
9779,W79,Εισρόφηση και κατάποση τροφής που προκαλεί απόφραξη της αναπνευστικής οδού
9780,W80,Εισρόφηση και κατάποση άλλων αντικειμένων που προκαλούν απόφραξη των αεροφόρων οδών
9781,W81,Περιορισμός ή παγίδευση σε περιβάλλον με χαμηλή περιεκτικότητα οξυγόνου
9782,W83,Άλλες καθορισμένες απειλές για την αναπνοή
9783,W84,Μη καθορισμένες απειλές για την αναπνοή
9784,W85,Έκθεση σε γραμμές μεταφοράς ηλεκτρικού ρεύματος
9785,W86,Έκθεση σε άλλο καθορισμένο ηλεκτρικό ρεύμα
9786,W87,Έκθεση σε μη καθορισμένο ηλεκτρικό ρεύμα
9787,W88,Έκθεση σε ιονίζουσα ακτινοβολία
9788,W89,Έκθεση σε τεχνητό ορατό και υπεριώδες φως 
9789,W90,Έκθεση σε άλλη  μη ιονίζουσα ακτινοβολία
9790,W91,Έκθεση σε μη καθορισμένο τύπο ακτινοβολίας
9791,W92,Έκθεση σε υπερβολική θερμότητα τεχνητής προέλευσης 
9792,W93,Έκθεση σε υπερβολικό ψύχος τεχνητής προέλευσης
9793,W94,Έκθεση σε υψηλή ή χαμηλή ατμοσφαιρική πίεση και σε μεταβολές της ατμοσφαιρικής πίεσης
9794,W99,Έκθεση σε άλλους και μη καθορισμένους τεχνητούς περιβαλλοντικούς παράγοντες
9795,X00,Έκθεση σε ανεξέλεγκτη πυρκαγιά μέσα σε κτίριο ή οικοδόμημα
9796,X01,"Έκθεση σε ανεξέλεγκτη πυρκαγιά, εκτός κτιρίων ή οικοδομημάτων"
9797,X02,Έκθεση σε ελεγχόμενη πυρκαγιά μέσα σε κτίριο ή οικοδόμημα
9798,X03,"Έκθεση σε ελεγχόμενη πυρκαγιά, εκτός κτιρίου ή οικοδομήματος"
9799,X04,Έκθεση σε ανάφλεξη εξαιρετικά εύφλεκτου υλικού
9800,X05,Έκθεση σε ανάφλεξη ή τήξη νυχτικού
9801,X06,Έκθεση σε ανάφλεξη ή τήξη άλλων υφασμάτων ή ενδυμασίας
9802,X08,"Έκθεση σε άλλο καθορισμένοη καπνό, φωτιά και φλόγα"
9803,X09,"Έκθεση σε μη καθορισμένοη καπνό, φωτιά και φλόγα"
9804,X10,"Επαφή με καυτά ποτά, τρόφιμα, λίπη και μαγειρικά έλαια"
9805,X11,Επαφή με καυτό νερό βρύσης
9806,X12,Επαφή με άλλα καυτά υγρά
9807,X13,Επαφή με υδρατμούς και καυτούς ατμούς
9808,X14,Επαφή με καυτό αέρα και αέρια
9809,X15,Επαφή με καυτές οικιακές συσκευές
9810,X16,"Επαφή με καυτές συσκευές θέρμανσης, σώματα καλοριφέρ και σωλήνες"
9811,X17,"Επαφή με καυτές μηχανές, μηχανήματα και εργαλεία "
9812,X18,Επαφή με άλλα καυτά μέταλλα
9813,X19,Επαφή με άλλες και μη καθορισμένες  μορφές θερμότητας και καυτές ουσίες
9814,X20,Επαφή με δηλητηριώδη φίδια και σαύρες
9815,X21,Επαφή με δηλητηριώδεις αράχνες
9816,X22,Επαφή με σκορπιούς
9817,X23,"Επαφή με σφήκες, και μέλισσες"
9818,X24,Επαφή με σαρανταποδαρούσες και δηλητηριώδη μυριόποδα τροπικά
9819,X25,Επαφή με άλλα δηλητηριώδη αρθρόποδα
9820,X26,Επαφή με δηλητηριώδη θαλάσσια ζώα και φυτά
9821,X27,Επαφή με άλλα καθορισμένα δηλητηριώδη ζώα
9822,X28,Επαφή με άλλα καθορισμένα δηλητηριώδη φυτά
9823,X29,Επαφή με μη καθορισμένο δηλητηριώδες ζώο ή φυτό
9824,X30,Έκθεση σε υπερβολική φυσική θερμότητα
9825,X31,Έκθεση σε υπερβολικό φυσικό ψύχος
9826,X32,Έκθεση σε ηλιακό φως
9827,X33,Θύμα κεραυνού
9828,X34,Θύμα σεισμού
9829,X35,Θύμα έκρηξης ηφαιστείου
9830,X36,"Θύμα χιονοστιβάδας, κατολίσθησης του εδάφους και άλλων γεωλογικών κινήσεων"
9831,X37,Θύμα κατακλυσμικής θύελλας
9832,X38,Θύμα πλημμύρας
9833,X39,Έκθεση σε άλλες και μη καθορισμένες δυνάμεις της φύσης
9834,X40,"Τυχαία δηλητηρίαση από και έκθεση σε μη οπιοειδή αναλγητικά, αντιπυρετικά και αντιρευματικά"
9835,X41,"Τυχαία δηλητηρίαση από και έκθεση σε αντιεπιληπτικά, καταπραϋντικά-υπνωτικά, αντιπαρκινσονικά και ψυχοτρόπα φάρμακα, που δεν ταξινομούνται αλλού"
9836,X42,"Τυχαία δηλητηρίαση από και έκθεση σε ναρκωτικά και ψυχοδυσληπτικά [ψευδαισθησιογόνα], που δεν ταξινομούνται αλλού"
9837,X43,Τυχαία δηλητηρίαση από και έκθεση σε άλλα φάρμακα που δρουν στο αυτόνομο νευρικό σύστημα
9838,X44,"Τυχαία δηλητηρίαση από και έκθεση σε άλλα και μη καθορισμένα φάρμακα, φαρμακευτικές και βιολογικές ουσίες"
9839,X45,Τυχαία δηλητηρίαση από και έκθεση σε αλκοόλ
9840,X46,Τυχαία δηλητηρίαση από και έκθεση σε οργανικούς διαλύτες και αλογονομένους υδρογονάνθρακες και τους ατμούς αυτών
9841,X47,Τυχαία δηλητηρίαση από και έκθεση σε άλλα αέρια και ατμούς
9842,X48,Τυχαία δηλητηρίαση από και έκθεση σε εντομοκτόνα 
9843,X49,Τυχαία δηλητηρίαση από και έκθεση σε άλλες και μη καθορισμένες  χημικές και επιβλαβείς ουσίες
9844,X50,Υπερπροσπάθεια και επίπονες ή επαναλαμβανόμενες κινήσεις
9845,X51,Ταξίδια και μετακίνηση
9846,X52,Παράταση παραμονής σε συνθήκες έλλειψης βαρύτητας
9847,X53,Στέρηση τροφής
9848,X54,Στέρηση ύδατος
9849,X57,Μη καθορισμένες μορφές στέρησης
9850,X58,Έκθεση σε άλλους καθορισμένους παράγοντες
9851,X59,Έκθεση σε μη καθορισμένο παράγοντα
9852,X59.0,Έκθεση σε μη καθορισμένο παράγοντα που προκαλεί κάταγμα
9853,X59.9,Έκθεση σε μη καθορισμένο παράγοντα που προκαλεί άλλο και μη καθορισμένο τραυματισμό
9854,X60,"Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε μη οπιοειδή αναλγητικά, αντιπυρετικά και αντιρευματικά"
9855,X61,"Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε αντιεπιληπτικά, καταπραϋντικά- υπνωτικά, αντιπαρκινσονικά και ψυχοτρόπα φάρμακα, που δεν ταξινομούνται αλλού"
9856,X62,"Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε ναρκωτικά και ψυχοδυσληπτικά [ψευδαισθησιογόνα], που δεν ταξινομούνται αλλού"
9857,X63,Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε άλλα φάρμακα που δρουν στο αυτόνομο νευρικό σύστημα
9858,X64,"Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε άλλα και μη καθορισμένα φάρμακα, φαρμακευτικές και βιολογικές ουσίες"
9859,X65,Σκόπιμη αυτοδηλητηρίαση από και έκθεση στο αλκοόλ
9860,X66,Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε οργανικούς διαλύτες και αλογονομένους υδρογονάνθρακες και τους ατμούς τους
9861,X67,Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε άλλα αέρια και ατμούς
9862,X68,Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε εντομοκτόνα 
9863,X69,Σκόπιμη αυτοδηλητηρίαση από και έκθεση σε άλλες και μη καθορισμένες χημικές και επιβλαβείς ουσίες
9864,X70,"Σκόπιμος αυτοτραυματισμός δια απαγχονισμού, στραγγαλισμού και ασφυξίας"
9865,X71,Σκόπιμος αυτοτραυματισμός δια πνιγμού και εμβύθισης
9866,X72,Σκόπιμος αυτοτραυματισμός μέσω πυροβολισμού με περίστροφο
9867,X73,"Σκόπιμος αυτοτραυματισμός μέσω πυροβολισμού με τυφέκιο, κυνηγητικό όπλο και πυροβόλο όπλο"
9868,X74,Σκόπιμος αυτοτραυματισμός μέσω πυροβολισμού με άλλο και μη καθορισμένο πυροβόλο όπλο
9869,X75,Σκόπιμος αυτοτραυματισμός από εκρηκτικά υλικά
9870,X76,"Σκόπιμος αυτοτραυματισμός από καπνό, φωτιά και φλόγες"
9871,X77,"Σκόπιμος αυτοτραυματισμός από υδρατμούς, καυτούς ατμούς και καυτά αντικείμενα"
9872,X78,Σκόπιμος αυτοτραυματισμός από αιχμηρό αντικείμενο
9873,X79,Σκόπιμος αυτοτραυματισμός με αμβλύ αντικείμενο
9874,X80,Σκόπιμος αυτοτραυματισμός μέσω άλματος από υψηλή τοποθεσία 
9875,X81,Σκόπιμος αυτοτραυματισμός με άλμα ή ξάπλωμα μπροστά από κινούμενο αντικείμενο
9876,X82,Σκόπιμος αυτοτραυματισμός μέσω σύνθλιψης με μηχανοκίνητο όχημα 
9877,X83,Σκόπιμος αυτοτραυματισμός με άλλα καθορισμένα μέσα
9878,X84,Σκόπιμος αυτοτραυματισμός με μη καθορισμένα μέσα
9879,X85,"Επίθεση με φάρμακα, φαρμακευτικές και βιολογικές ουσίες"
9880,X86,Επίθεση με καυστική [διαβρωτική] ουσία 
9881,X87, Επίθεση με εντομοκτόνα 
9882,X88,Επίθεση με αέρια και ατμούς
9883,X89,Επίθεση με άλλες καθορισμένες χημικές και επιβλαβείς ουσίες
9884,X90,Επίθεση με μη καθορισμένες χημικές ή επιβλαβείς ουσίες
9885,X91,"Επίθεση με απαγχονισμό, στραγγαλισμό και ασφυξία"
9886,X92,Επίθεση με πνιγμό και εμβύθιση
9887,X93,Επίθεση με πυροβολισμό περίστροφου 
9888,X94,"Επίθεση με πυροβολισμό τυφεκίου, κυνηγητικού όπλου ή μεγάλου πυροβόλου όπλου"
9889,X95,Επίθεση με πυροβολισμό άλλων και μη καθορισμένων πυροβόλων όπλων
9890,X96,Επίθεση με εκρηκτικό υλικό
9891,X97,"Επίθεση με καπνό, φωτιά και φλόγες"
9892,X98,"Επίθεση με υδρατμούς, καυτούς ατμούς και καυτά αντικείμενα"
9893,X99,Επίθεση με αιχμηρό αντικείμενο
9894,Y00,Επίθεση με αμβλύ αντικείμενο
9895,Y01,Επίθεση με ώθηση ατόμου από υψηλή τοποθεσία
9896,Y02,Επίθεση με ώθηση ή τοποθέτηση θύματος εμπρός από κινούμενο αντικείμενο
9897,Y03,Επίθεση με συντριβή μηχανοκίνητου οχήματος
9898,Y04,Επίθεση με χρησιμοποίηση σωματικής βίας
9899,Y05,Σεξουαλική επίθεση με χρησιμοποίηση σωματικής βίας
9900,Y06,Παραμέληση και εγκατάλειψη 
9901,Y06.0,Από σύζυγο ή σύντροφο
9902,Y06.1,Από γονέα
9903,Y06.2,Από γνωστό ή φίλο
9904,Y06.8,Από άλλα καθορισμένα άτομα
9905,Y06.9,Από μη καθορισμένο άτομο
9906,Y07,Άλλα σύνδρομα κακοποίησης
9907,Y07.0,Από σύζυγο ή σύντροφο
9908,Y07.1,Από γονέα
9909,Y07.2,Από γνωστό ή φίλο
9910,Y07.3,Από επίσημες αρχές
9911,Y07.8,Από άλλα καθορισμένα άτομα
9912,Y07.9,Από μη καθορισμένο άτομο
9913,Y08,Επίθεση με άλλα καθορισμένα μέσα
9914,Y09,Επίθεση με μη καθορισμένα μέσα
9915,Y10,"Δηλητηρίαση από και έκθεση σε μη οπιοειδή αναλγητικά, αντιπυρετικά και αντιρευματικά, χωρίς καθορισμένη πρόθεση"
9916,Y11,"Δηλητηρίαση από και έκθεση σε αντιεπιληπτικά, καταπραϋντικά-υπνωτικά, αντιπαρκινσονικά και ψυχοτρόπα φάρμακα, που δεν ταξινομούνται αλλού, χωρίς καθορισμένη πρόθεση"
9917,Y12,"Δηλητηρίαση από και έκθεση σε ναρκωτικά και ψυχοδυσληπτικά [ψευδαισθησιογόνα], που δεν ταξινομούνται αλλού, χωρίς καθορισμένη πρόθεση"
9918,Y13,"Δηλητηρίαση από και έκθεση σε άλλα φάρμακα που δρουν στο αυτόνομο νευρικό σύστημα, χωρίς καθορισμένη πρόθεση"
9919,Y14,"Δηλητηρίαση από και έκθεση σε άλλα και μη καθορισμένα φάρμακα, φαρμακευτικές και βιολογικές ουσίες, χωρίς καθορισμένη πρόθεση"
9920,Y15,"Δηλητηρίαση από και έκθεση στο αλκοόλ, χωρίς καθορισμένη πρόθεση "
9921,Y16,"Δηλητηρίαση από και έκθεση σε οργανικούς διαλύτες και αλογονομένους υδρογονάνθρακες και στους ατμούς τους, χωρίς καθορισμένη πρόθεση"
9922,Y17,"Δηλητηρίαση από και έκθεση σε άλλα αέρια και ατμούς, χωρίς καθορισμένη πρόθεση"
9923,Y18,"Δηλητηρίαση από και έκθεση σε εντομοκτόνα, χωρίς καθορισμένη πρόθεση"
9924,Y19,"Δηλητηρίαση από και έκθεση σε άλλες και καθορισμένες χημικές και επιβλαβείς ουσίες, χωρίς καθορισμένη πρόθεση"
9925,Y20,"Απαγχονισμός, στραγγαλισμός και ασφυξία, χωρίς καθορισμένη πρόθεση"
9926,Y21,"Πνιγμός και εμβύθιση, χωρίς καθορισμένη πρόθεση"
9927,Y22,"Πυροβολισμός με περίστροφο, χωρίς καθορισμένη πρόθεση"
9928,Y23,"Πυροβολισμός με τυφέκιο, κυνηγητικό όπλο και μεγάλο πυροβόλο όπλο, χωρίς καθορισμένη πρόθεση"
9929,Y24,"Πυροβολισμός με άλλα και μη καθορισμένα πυροβόλα όπλα, χωρίς καθορισμένη πρόθεση"
9930,Y25,"Επαφή με εκρηκτικό υλικό, χωρίς καθορισμένη πρόθεση"
9931,Y26,"Έκθεση σε καπνό, φωτιά και φλόγες, χωρίς καθορισμένη πρόθεση"
9932,Y27,"Επαφή με υδρατμούς, καυτούς ατμούς και καυτά αντικείμενα, χωρίς καθορισμένη πρόθεση"
9933,Y28,"Επαφή με αιχμηρό αντικείμενο, χωρίς συγκεκριμένη πρόθεση"
9934,Y29,"Επαφή με αμβλύ αντικείμενο, χωρίς καθορισμένη πρόθεση"
9935,Y30,"Πτώση, άλμα ή ώθηση από υψηλή τοποθεσία, χωρίς καθορισμένη πρόθεση"
9936,Y31,"Πτώση, ξάπλωμα ή τρέξιμο μπροστά ή σε κινούμενο αντικείμενο, χωρίς καθορισμένη πρόθεση"
9937,Y32,"Συντριβή μηχανοκίνητου οχήματος, χωρίς καθορισμένη πρόθεση"
9938,Y33,"Άλλα καθορισμένα γεγονότα, χωρίς καθορισμένη πρόθεση"
9939,Y34,"Μη καθορισμένο γεγονός, χωρίς καθορισμένη πρόθεση"
9940,Y35,Νόμιμη παρέμβαση
9941,Y35.0,Νόμιμη παρέμβαση που αφορά πυροβολισμό από πυροβόλο όπλο
9942,Y35.1,Νόμιμη παρέμβαση που αφορά εκρηκτικά
9943,Y35.2,Νόμιμη παρέμβαση που αφορά την χρήση αερίων
9944,Y35.3,Νόμιμη παρέμβαση που αφορά αμβλέα αντικείμενα
9945,Y35.4,Νόμιμη παρέμβαση που αφορά αιχμηρά αντικείμενα 
9946,Y35.5,Νόμιμη εκτέλεση θανατική
9947,Y35.6,Νόμιμη παρέμβαση με άλλα καθορισμένα μέσα
9948,Y35.7,"Νόμιμη παρέμβαση, με μη καθορισμένα μέσα"
9949,Y36,Πολεμικές επιχειρήσεις
9950,Y36.0,Πολεμικές επιχειρήσεις που αφορούν έκρηξη θαλάσσιων όπλων
9951,Y36.1,Πολεμικές επιχειρήσεις που αφορούν καταστροφή αεροσκάφους
9952,Y36.2,Πολεμικές επιχειρήσεις που αφορούν άλλες εκρήξεις και θραύσματα
9953,Y36.3,"Πολεμικές επιχειρήσεις που αφορούν φωτιά, μεγάλη πυρκαγιά και καυτές ουσίες"
9954,Y36.4,Πολεμικές επιχειρήσεις που αφορούν πυροβολισμό πυροβόλου όπλου και άλλες μορφές συμβατικού πολέμου
9955,Y36.5,Πολεμικές επιχειρήσεις που αφορούν πυρηνικά όπλα
9956,Y36.6,Πολεμικές επιχειρήσεις που αφορούν βιολογικά όπλα
9957,Y36.7,Πολεμικές επιχειρήσεις που αφορούν χημικά όπλα και άλλες μορφές μη συμβατικού πολέμου
9958,Y36.8,Πολεμικές επιχειρήσεις που λαμβάνουν χώρα μετά την κατάπαυση των εχθροπραξιών
9959,Y36.9,"Πολεμικές επιχειρήσεις, μη καθορισμένες"
9960,Y40,Αντιβιοτικά που χορηγούνται συστηματικά
9961,Y40.0,Πενικιλίνες
9962,Y40.1,Κεφαλοσπορίνες και άλλα β-λακταμικά αντιβιοτικά
9963,Y40.2,Ομάδα της χλωραμφενικόλης
9964,Y40.3,Μακρολίδια
9965,Y40.4,Τετρακυκλίνες
9966,Y40.5,Αμινογλυκοσίδες
9967,Y40.6,Ριφαμυκίνες
9968,Y40.7,Αντιμυκητιακά που χορηγούνται συστηματικά
9969,Y40.8,Άλλα αντιβιοτικά που χορηγούνται συστηματικά
9970,Y40.9,"Αντιβιοτικό που χορηγείται συστηματικά, μη καθορισμένο "
9971,Y41,Άλλα αντιμικροβιακά και αντιπαρασιτικά που χορηγούνται συστηματικά
9972,Y41.0,Σουλφοναμίδες
9973,Y41.1,Αντιμυκοβακτηριακά φάρμακα
9974,Y41.2,Ανθελονοσιακά και φάρμακα που δρουν σε άλλα πρωτόζωα του αίματος 
9975,Y41.3,Άλλα αντιπρωτοζωικά φάρμακα
9976,Y41.4,Ανθελμινθικά
9977,Y41.5,Αντιϊικά φάρμακα
9978,Y41.8,"Άλλα καθορισμένα συστηματικώς χορηγούμενα αντιμικροβιακά και αντιπαρασιτικά, μη καθορισμένα "
9979,Y41.9,"Συστηματικώς χορηγούμενο αντιμικροβιακό και αντιπαρασιτικό, μη καθορισμένο"
9980,Y42,"Ορμόνες και τα συνθετικά τους υποκατάστατα και ανταγωνιστές, που δεν ταξινομούνται αλλού"
9981,Y42.0,Γλυκοκορτικοειδή και τα συνθετικά τους ανάλογα
9982,Y42.1,Θυρεοειδικές ορμόνες και υποκατάστατα
9983,Y42.2,Αντιθυρεοειδικά φάρμακα
9984,Y42.3,Ινσουλίνη και από του στόματος υπογλυκαιμικά [αντιδιαβητικά] φάρμακα
9985,Y42.4,"Αντισυλληπτικά, από του στόματος"
9986,Y42.5,Άλλα οιστρογόνα και προγεσταγόνα
9987,Y42.6,"Αντιγοναδοτροπίνες, αντιοιστρογόνα, αντιανδρογόνα, που δεν ταξινομούνται αλλού"
9988,Y42.7,Ανδρογόνα και συγγενή αναβολικά 
9989,Y42.8,Άλλες και μη καθορισμένες ορμόνες και τα συνθετικά τους υποκατάστατα
9990,Y42.9,Άλλοι και μη καθορισμένοι ορμονικοί ανταγωνιστές
9991,Y43,Παράγοντες με κύρια συστηματική δράση
9992,Y43.0,Αντιαλλεργικά και αντιεμετικά φάρμακα
9993,Y43.1,Αντινεοπλασματικοί αντιμεταβολίτες
9994,Y43.2,Αντινεοπλασματικά φυσικά προϊόντα
9995,Y43.3,Άλλα αντινεοπλασματικά φάρμακα
9996,Y43.4,Ανοσοκατασταλτικοί παράγοντες
9997,Y43.5,Οξινοποιητικοί και αλκαλοποιητικοί παράγοντες
9998,Y43.6,"Ενζυμα, που δεν ταξινομούνται αλλού"
9999,Y43.8,"Άλλοι παράγοντες με κύρια συστηματική δράση, που δεν ταξινομούνται αλλού"
10000,Y43.9,"Παράγοντας με κύρια συστηματική δράση, μη καθορισμένος"
10001,Y44,Παράγοντες με κύρια δράση στα συστατικά του αίματος
10002,Y44.0,Σκευάσματα σιδήρου και άλλα σκευάσματα κατά της υπόχρωμης αναιμίας
10003,Y44.1,"Βιταμίνη Β12, φυλλικό οξύ και άλλα σκευάσματα κατά της μεγαλοβλαστικής αναιμίας"
10004,Y44.2,Αντιπηκτικά
10005,Y44.3,"Ανταγωνιστές των αντιπηκτικών, βιταμίνη Κ και άλλοι παράγοντες με πηκτική δράση"
10006,Y44.4,Αντιθρομβωτικά φάρμακα [αναστολείς συσσώρευσης αιμοπεταλίων]
10007,Y44.5,Θρομβολυτικά φάρμακα
10008,Y44.6,Φυσικό αίμα και παράγωγα του αίματος
10009,Y44.7,Υποκατάστατα πλάσματος
10010,Y44.9,Άλλοι και μη καθορισμένοι παράγοντες με κύρια δράση στα συστατικά του αίματος
10011,Y45,"Αναλγητικά, αντιπυρετικά και αντιφλεγμονώδη φάρμακα"
10012,Y45.0,Οπιοειδή και σχετικά αναλγητικά
10013,Y45.1,Σαλικυλικά
10014,Y45.2,Παράγωγα προπιονικού οξέος
10015,Y45.3,Άλλα μη στερεοειδή αντιφλεγμονώδη φάρμακα [ΜΣAΦ]
10016,Y45.4,Αντιρευματικά
10017,Y45.5,Παράγωγα της 4-αμινοφαινόλης
